Ticker,Exchange,Name,Months,Number of Contracts,Quandl Code
0D,CME,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts)",FGHJKMNQUVXZ,5,CHRIS/CME_0D
0F,CME,"Mini Singapore Fuel Oil 180 cst (Platts)",HJKMNQUVXZ,2,CHRIS/CME_0F
1MF,SGX,"Platts Singapore Fuel Oil 180cst Index",FGHJKMNQUVXZ,3,CHRIS/SGX_1MF
1N,CME,"Singapore Mogas 92 Unleaded (Platts)",FGHJKMNQUVXZ,4,CHRIS/CME_1N
1NB,CME,"Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread",HJKMNQU,4,CHRIS/CME_1NB
1R,CME,"Propane Non-LDH Mont Belvieu (OPIS)",FGHJKMNQUVXZ,2,CHRIS/CME_1R
1U,CME,"NY Jet Fuel (Platts) vs. NY Harbor ULSD",HJKMNQU,4,CHRIS/CME_1U
3MF,SGX,"Platts Singapore Fuel Oil 380cst Index",FGHJKMNQUVXZ,2,CHRIS/SGX_3MF
46,CME,"PJM METED Zone Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,12,CHRIS/CME_46
47,CME,"PJM METED Zone Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,2,CHRIS/CME_47
4L,CME,"NYISO Zone F 5 MW Peak Calendar-Month Day-Ahead LBMP",HJKMNQUVXZ,2,CHRIS/CME_4L
4M,CME,"NYISO Zone F 5 MW Off-Peak Calendar-Month Day-Ahead LBMP",HJKMNQUVXZ,10,CHRIS/CME_4M
4N,CME,"PJM PECO Zone 5 MW Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,2,CHRIS/CME_4N
4P,CME,"PJM PECO Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,16,CHRIS/CME_4P
58,CME,"NYISO Zone E 5 MW Off-Peak Calendar-Month Day-Ahead LBMP",FGHJKMNQUVXZ,12,CHRIS/CME_58
5C,CME,"Chicago ULSD (Platts) vs. NY Harbor ULSD",FGHJKMNQUVXZ,2,CHRIS/CME_5C
5Z,CME,"Columbia Gulf Mainline Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,9,CHRIS/CME_5Z
6T,CME,"In Delivery Month European Union Allowance (EUA)",HMUZ,6,CHRIS/CME_6T
6Z,CME,"Tennessee 800 Leg Natural Gas (Platts IFERC) Basis",JKUVX,2,CHRIS/CME_6Z
71,CME,"Ethanol Forward Month",FGHJKMNQUVXZ,2,CHRIS/CME_71
7H,CME,"Gasoline Euro-bob Oxy NWE Barges (Argus)",FGHJKMNQUVXZ,5,CHRIS/CME_7H
7K,CME,"Gasoline Euro-bob Oxy NWE Barges (Argus) Crack Spread",FGHJKMNQUVXZ,10,CHRIS/CME_7K
7Q,CME,"Mont Belvieu Natural Gasoline (OPIS)",FGHJKMNQUVXZ,3,CHRIS/CME_7Q
7Y,CME,"NY ULSD (Argus) vs. NY Harbor ULSD",FGHJKMNQUVXZ,2,CHRIS/CME_7Y
8I,CME,"Mont Belvieu Iso-Butane (OPIS)",FGHJKMNQUVXZ,2,CHRIS/CME_8I
8Z,CME,"Southern Star Tx.-Okla.-Kan. Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_8Z
9F,CME,"Texas Gas Zone 1 Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_9F
A3,CME,"NYISO Zone C 5 MW Off-Peak Calendar-Month Day-Ahead LBMP",FGHJKMNQUVXZ,34,CHRIS/CME_A3
A5,CME,"EIA Flat Tax On-Highway Diesel",FGHJKMNQUVXZ,2,CHRIS/CME_A5
A6,CME,"Group Three ULSD (Platts) vs. NY Harbor ULSD",FGHJKMNQUVXZ,10,CHRIS/CME_A6
AB,ODE,"Azuki Beans",FGHJKMNQUVXZ,2,CHRIS/ODE_AB
ABY,CME,"WTI-Brent Bullet",FGHJKMNQUVXZ,4,CHRIS/CME_ABY
AD,CME,"Australian Dollar",HMUZ,2,CHRIS/CME_AD
AFF,CME,"WTI Midland (Argus) vs. WTI Financial",HJKMNQUVXZ,10,CHRIS/CME_AFF
AFR,ICE,"Richards Bay Coal",FGHJKMNQUVXZ,6,CHRIS/ICE_AFR
AFR,ICE,"Richards Bay Coal",FGHJKMNQUVXZ,6,CHRIS/ICE_AFR
AG,MCX,"Silver 1000",FGHJKMNQUVXZ,2,CHRIS/MCX_AG
AG,SHFE,"Silver",FGHJKMNQUVXZ,11,CHRIS/SHFE_AG
AGA,CME,"Singapore Gasoil (Platts) vs. Gasoil",HJKMNQUVXZ,10,CHRIS/CME_AGA
AGM,MCX,"Silver Micro",FGHJKMNQUVXZ,2,CHRIS/MCX_AGM
AL,SHFE,"Aluminium",FGHJKMNQUVXZ,11,CHRIS/SHFE_AL
AL,MCX,"Aluminium",FGHJKMNQUVXZ,2,CHRIS/MCX_AL
ALM,MCX,"Aluminium Mini",FGHJKMNQUVXZ,2,CHRIS/MCX_ALM
AP,ASX,"SPI 200 Index",HMUZ,2,CHRIS/ASX_AP
AP,SGX,"MSCI Asia APEX 50 Index",FGHJKMNQUVXZ,2,CHRIS/SGX_AP
AR,ICE,"AUSTRALIAN DOLLAR/NEW ZEALAND DOLLAR",MUZ,2,CHRIS/ICE_AR
ARW,CME,"Gulf Coast Unl 87 Gasoline M1 (Platts) Crack Spread",HJKMNQU,2,CHRIS/CME_ARW
ATW,ICE,"Rotterdam Coal",FGHJKMNQUVXZ,5,CHRIS/ICE_ATW
ATW,ICE,"Rotterdam Coal",FGHJKMNQUVXZ,5,CHRIS/ICE_ATW
AU,SHFE,"Gold",FGHJKMNQUVXZ,9,CHRIS/SHFE_AU
AW,CME,"Dow Jones-UBS Commodity Index",HMUZ,2,CHRIS/CME_AW
AXF,LIFFE,"AEX Dividend Index",Z,2,CHRIS/LIFFE_AXF
B,MCX,"Brent Crude Oil",FGHJKZ,1,CHRIS/MCX_B
B,ICE,"Brent Crude Oil",FGHJKMNQUVXZ,25,CHRIS/ICE_B
B0,CME,"Mont Belvieu LDH Propane (OPIS)",FGHJKMNQUVXZ,11,CHRIS/CME_B0
B3,CME,"PJM Northern Illinois Hub 5 MW Peak Calendar-Month Real-Time LMP",FGHJKMNQUVXZ,30,CHRIS/CME_B3
B4,CME,"Algonquin City-Gates Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,7,CHRIS/CME_B4
B6,CME,"PJM Northern Illinois Hub Real-Time Off-Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,34,CHRIS/CME_B6
BAX,MX,"3-Month Canadian Bankers Acceptance",FGHJKMNQUVXZ,2,CHRIS/MX_BAX
BB,CME,"Brent Crude Oil",FGHJKMNQUVXZ,5,CHRIS/CME_BB
BB,ASX,"90-day New Zealand Bank Bills",HMUZ,2,CHRIS/ASX_BB
BK,CME,"WTI-Brent Financial",FGHJKMNQUVXZ,34,CHRIS/CME_BK
BO,CME,"Soybean Oil",FHKNQUVZ,10,CHRIS/CME_BO
BOB,CME,"3.5% Fuel Oil Barges FOB Rdam (Platts) Crack Spread (1000mt)",FGHJKMNQUVXZ,2,CHRIS/CME_BOB
BP,CME,"British Pound",HMUZ,2,CHRIS/CME_BP
BPB,ICE,"Endex Belgian Power Base Load",FGHJKMNQUVXZ,2,CHRIS/ICE_BPB
BR,CME,"Brazilian Real",FGHJKMNQUVXZ,4,CHRIS/CME_BR
BW,ICE,"Barley",HKNVZ,2,CHRIS/ICE_BW
BW,ICE,"Barley",HKNVZ,2,CHRIS/ICE_BW
BXF,LIFFE,"BEL 20 Index",FGHJKMNQUVXZ,2,CHRIS/LIFFE_BXF
BY,CME,"British Pound/Japanese Yen",HMUZ,2,CHRIS/CME_BY
BZ,CME,"Brent Look-Alike",FGHJKMNQUVXZ,16,CHRIS/CME_BZ
C,LIFFE,"Cocoa",HUZ,4,CHRIS/LIFFE_C
C,CME,"Corn",HKNUZ,11,CHRIS/CME_C
C,ICE,"EUA",FGHJKMNQUVXZ,16,CHRIS/ICE_C
C,ICE,"EUA ",FGHJKMNQUVXZ,16,CHRIS/ICE_C
C0,CME,"Mont Belvieu Ethane (OPIS)",FGHJKMNQUVXZ,10,CHRIS/CME_C0
C75,ODE,"Corn75 Index",FHKNUX,5,CHRIS/ODE_C75
CB,CME,"Cash-settled Butter",FGHJKMNQUVXZ,7,CHRIS/CME_CB
CC,ICE,"Cocoa",HKNUZ,6,CHRIS/ICE_CC
CD,CME,"Canadian Dollar",HMUZ,4,CHRIS/CME_CD
CER,ICE,"CER Emissions",HJKMUZ,5,CHRIS/ICE_CER
CEU,ICE,"ECX EUAA",HJKMUZ,2,CHRIS/ICE_CEU
CFF,SGX,"China Coal Index",FGHJKMNQUVXZ,5,CHRIS/SGX_CFF
CGB,MX,"10-year Canadian Bond",HMUZ,2,CHRIS/MX_CGB
CGF,MX,"5-year Canadian Bond",HMUZ,2,CHRIS/MX_CGF
CGZ,MX,"2-year Canadian Bond",HMUZ,2,CHRIS/MX_CGZ
CI,CME,"CIG Rockies Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_CI
CIF,SGX,"IHS McCloskey Indonesian Sub-Bit FOB Index Futures",FGHJKMNQUVXZ,2,CHRIS/SGX_CIF
CL,MCX,"Crude Oil",FGHJKZ,4,CHRIS/MCX_CL
CL,CME,"WTI Crude Oil",FGHJKMNQUVXZ,38,CHRIS/CME_CL
CN,SGX,"FTSE China A50 Index",FGHJKMNQUVXZ,2,CHRIS/SGX_CN
CNH,CME,"Standard-Size USD/Offshore RMB (CNH)",FGHJKMNQUVXZ,2,CHRIS/CME_CNH
CONF,EUREX,"CONF",HMUZ,2,CHRIS/EUREX_CONF
CPO,CME,"Crude Palm Oil",FHKMNQUX,2,CHRIS/CME_CPO
CRDM,MCX,"Cardamom",FGHJZ,3,CHRIS/MCX_CRDM
CS,CME,"WTI Financial",FGHJKMNQUVXZ,34,CHRIS/CME_CS
CSC,CME,"Cash-Settled Cheese",FGHJKMNQUVXZ,10,CHRIS/CME_CSC
CT,MCX,"Cotton",FGHJZ,3,CHRIS/MCX_CT
CT,ICE,"Cotton",HKNVZ,6,CHRIS/ICE_CT
CU,CME,"Chicago Ethanol (Platts)",FGHJKMNQUVXZ,13,CHRIS/CME_CU
CU,MCX,"Copper",GJMQVZ,2,CHRIS/MCX_CU
CU,SHFE,"Copper",FGHJKMNQUVXZ,11,CHRIS/SHFE_CU
CUM,MCX,"Copper Mini",FGHJKMNQUVXZ,2,CHRIS/MCX_CUM
CY,CME,"Brent Financial",FGHJKMNQUVXZ,22,CHRIS/CME_CY
CZ,CME,"Transco Zone 3 Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_CZ
D0,CME,"Mont Belvieu Normal Butane (OPIS)",FGHJKMNQUVXZ,10,CHRIS/CME_D0
D2,CME,"NYISO Zone G Day-Ahead Off-Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,34,CHRIS/CME_D2
D3,CME,"NYISO Zone J Day-Ahead Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,10,CHRIS/CME_D3
D4,CME,"NYISO Zone J Day-Ahead Off-Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,34,CHRIS/CME_D4
D6,CME,"PJM Duquesne Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP",HJKMNQUVXZ,2,CHRIS/CME_D6
D7,CME,"PJM AEP Dayton Hub Day-Ahead LMP Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,22,CHRIS/CME_D7
D8,CME,"PJM ComEd Zone 5 MW Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,2,CHRIS/CME_D8
D9,CME,"PJM ComEd Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,22,CHRIS/CME_D9
DA,CME,"Class III Milk",FGHJKMNQUVXZ,10,CHRIS/CME_DA
DB,CME,"Brent Crude Oil vs. Dubai Crude Oil (Platts)",FGHJKMNQUVXZ,2,CHRIS/CME_DB
DC,CME,"Dubai Crude Oil (Platts) Financial",HJKMNQUVXZ,2,CHRIS/CME_DC
DJ,CME,"Full-Size Dow Jones",HMUZ,2,CHRIS/CME_DJ
DJIA,OSE,"OSE DJIA",HMUZ,4,CHRIS/OSE_DJIA
DK,CME,"Class IV Milk",FGHJKMNQUVXZ,10,CHRIS/CME_DK
DPA,ICE,"Endex Dutch Power Peak Load (8-20) Futures",FGHJKMNQUVXZ,2,CHRIS/ICE_DPA
DPB,ICE,"Endex Dutch Power Base Load",FGHJKMNQUVXZ,2,CHRIS/ICE_DPB
DW,ICE,"Durum Wheat",HKNVZ,11,CHRIS/ICE_DW
DW,ICE,"Durum Wheat",HKNVZ,11,CHRIS/ICE_DW
DX,ICE,"US Dollar Index",HMUZ,2,CHRIS/ICE_DX
DY,CME,"Dry Whey",FGHJKMNQUVXZ,2,CHRIS/CME_DY
E3,CME,"PJM BGE Zone Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,2,CHRIS/CME_E3
E4,CME,"PJM Western Hub Day-Ahead Off-Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,51,CHRIS/CME_E4
E5,CME,"Argus LLS vs. WTI (Argus) Trade Month",FJKMNQUVXZ,2,CHRIS/CME_E5
E7,CME,"E-mini Euro FX",MU,2,CHRIS/CME_E7
E8,CME,"PJM DPL Zone Off-Peak Calendar-Month Day-Ahead LMP",HJK,3,CHRIS/CME_E8
EBM,LIFFE,"Milling Wheat",FHKUXZ,6,CHRIS/LIFFE_EBM
EC,CME,"Euro FX",HMUZ,2,CHRIS/CME_EC
ECO,LIFFE,"Rapeseed",GKQX,9,CHRIS/LIFFE_ECO
ED,SGX,"Eurodollar",FGHJKMNQUVXZ,4,CHRIS/SGX_ED
ED,CME,"3-month Eurodollar",HJKMNQUZ,37,CHRIS/CME_ED
EH,CME,"Ethanol",FGHJKMNQUVXZ,4,CHRIS/CME_EH
EJ,CME,"MISO Indiana Hub (formerly Cinergy Hub) Off-Peak LMP",FGHJKMNQUVXZ,2,CHRIS/CME_EJ
EL,SGX,"Euroyen LIBOR",HMUZ,2,CHRIS/SGX_EL
EM,CME,"1-month Eurodollar",FGHJKMNQUVXZ,3,CHRIS/CME_EM
EMA,LIFFE,"Corn",FHMQX,10,CHRIS/LIFFE_EMA
EN,CME,"European Naphtha (Platts) Crack Spread",FGHJKMNQUVXZ,10,CHRIS/CME_EN
EO3,LIFFE,"3-month EONIA Swap",FGHMUZ,2,CHRIS/LIFFE_EO3
EOB,LIFFE,"Malting Barley",FHKX,9,CHRIS/LIFFE_EOB
EON,LIFFE,"1-month EONIA",FGHJKMNQUVXZ,2,CHRIS/LIFFE_EON
EPE,LIFFE,"FTSE EPRA/NAREIT Euro Zone Index",HMUZ,2,CHRIS/LIFFE_EPE
EPL,LIFFE,"Skimmed Milk Powder",FHKNUX,2,CHRIS/LIFFE_EPL
EPR,LIFFE,"FTSE EPRA/NAREIT Europe Index",HMUZ,2,CHRIS/LIFFE_EPR
ERU,ICE,"ECX ERU Emission",HMUZ,2,CHRIS/ICE_ERU
ES,CME,"E-mini S&P 500 Index",HMUZ,4,CHRIS/CME_ES
EW,CME,"East-West Fuel Oil Spread (Platts)",FGHJKMNQUVXZ,2,CHRIS/CME_EW
EY,SGX,"Euroyen TIBOR",HMUZ,2,CHRIS/SGX_EY
EY,CME,"Euroyen Tibor",HMUZ,2,CHRIS/CME_EY
F2,CME,"PJM JCPL Zone Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,39,CHRIS/CME_F2
F2CR,EUREX,"CER Mid December",Z,2,CHRIS/EUREX_F2CR
F2MX,EUREX,"MDAX",HMUZ,2,CHRIS/EUREX_F2MX
F5,CME,"PJM PPL Zone Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,22,CHRIS/CME_F5
FB,SGX,"Fuel Oil 380cst",FGHJKMNQUVXZ,2,CHRIS/SGX_FB
FBTP,EUREX,"Long-Term Euro-BTP",HMUZ,2,CHRIS/EUREX_FBTP
FBTS,EUREX,"Short-Term Euro-BTP",HMUZ,2,CHRIS/EUREX_FBTS
FBUT,EUREX,"Butter",FGHJKMNQUVXZ,2,CHRIS/EUREX_FBUT
FC,CME,"Feeder Cattle",FHJKQUVX,7,CHRIS/CME_FC
FCAG,EUREX,"Dow Jones-UBS Agriculture",HMUZ,2,CHRIS/EUREX_FCAG
FCCO,EUREX,"Dow Jones-UBS Commodity Index",HMUZ,2,CHRIS/EUREX_FCCO
FCE,LIFFE,"CAC40 Index",FGHJKMNQUVXZ,3,CHRIS/LIFFE_FCE
FCEN,EUREX,"Dow Jones-UBS Energy Index",HMUZ,2,CHRIS/EUREX_FCEN
FCGR,EUREX,"Dow Jones-UBS Grains",HMUZ,2,CHRIS/EUREX_FCGR
FCIN,EUREX,"Dow Jones-UBS Industrial Metals",HMUZ,2,CHRIS/EUREX_FCIN
FCLI,EUREX,"Dow Jones-UBS Livestock",HMUZ,2,CHRIS/EUREX_FCLI
FCPE,EUREX,"Dow Jones-UBS Petroleum",HMUZ,2,CHRIS/EUREX_FCPE
FCPR,EUREX,"Dow Jones-UBS Precious Metals",HMUZ,2,CHRIS/EUREX_FCPR
FCSO,EUREX,"Dow Jones-UBS Softs",HMUZ,2,CHRIS/EUREX_FCSO
FCXE,EUREX,"Dow Jones-UBS EX Energy Index",HMUZ,2,CHRIS/EUREX_FCXE
FDAX,EUREX,"DAX",HMUZ,3,CHRIS/EUREX_FDAX
FDIV,EUREX,"TecDAX",HMUZ,3,CHRIS/EUREX_FDIV
FDM,CME,"MISO Indiana Hub Day-Ahead Off-Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,10,CHRIS/CME_FDM
FEAA,EUREX,"EUAA",Z,2,CHRIS/EUREX_FEAA
FEDV,EUREX,"EURO STOXX Select Dividend 30 Index",HMUZ,2,CHRIS/EUREX_FEDV
FEF,LIFFE,"FTSEUROFIRST 80 Index",HMUZ,2,CHRIS/LIFFE_FEF
FEF,SGX,"Iron Ore",FGHJKMNQUVXZ,2,CHRIS/SGX_FEF
FEO,LIFFE,"FTSEUROFIRST 100 Index",HMUZ,2,CHRIS/LIFFE_FEO
FEO1,EUREX,"1-month EONIA",FGHJKMNQUVXZ,2,CHRIS/EUREX_FEO1
FEPP,EUREX,"Potatos",JMX,2,CHRIS/EUREX_FEPP
FERU,EUREX,"ERU",Z,2,CHRIS/EUREX_FERU
FESX,EUREX,"EURO STOXX 50 Index",HMUZ,3,CHRIS/EUREX_FESX
FEU3,EUREX,"3-month EURIBOR",HMUZ,2,CHRIS/EUREX_FEU3
FEXD,EUREX,"EURO STOXX 50 Index Dividend",Z,10,CHRIS/EUREX_FEXD
FEXF,EUREX,"EURO STOXX 50 ex Financials Index",HMUZ,2,CHRIS/EUREX_FEXF
FF,CME,"30 Day Fed Funds",FGHJKMNQUVXZ,24,CHRIS/CME_FF
FFOX,EUREX,"OMXH25 Index",HMUZ,2,CHRIS/EUREX_FFOX
FGBL,EUREX,"Euro-Bund",HMUZ,2,CHRIS/EUREX_FGBL
FGBM,EUREX,"Euro-Bobl",HMUZ,2,CHRIS/EUREX_FGBM
FGBS,EUREX,"Euro-Schatz",HMUZ,2,CHRIS/EUREX_FGBS
FGBX,EUREX,"Euro-Buxl",HMUZ,2,CHRIS/EUREX_FGBX
FH,CME,"WTS (Argus) vs. WTI Trade Month",FGHJKMNQUVXZ,2,CHRIS/CME_FH
FHOG,EUREX,"Hogs",FGHJKMNQUVXZ,2,CHRIS/EUREX_FHOG
FI,CME,"1% Fuel Oil Cargoes FOB NWE (Platts) Crack Spread",HJKMNQUVXZ,2,CHRIS/CME_FI
FMAS,EUREX,"MSCI AC Asia Pacific ex Japan Index Futures",HMUZ,2,CHRIS/EUREX_FMAS
FMCL,EUREX,"MSCI Chile Index",HMUZ,2,CHRIS/EUREX_FMCL
FMCN,EUREX,"MSCI China Free Index",HMUZ,2,CHRIS/EUREX_FMCN
FMCO,EUREX,"MSCI Columbia Index",HMUZ,2,CHRIS/EUREX_FMCO
FMCZ,EUREX,"MSCI Czech Republic Index",HMUZ,2,CHRIS/EUREX_FMCZ
FMEA,EUREX,"MSCI Emerging Markets Asia Index",HMUZ,2,CHRIS/EUREX_FMEA
FMEE,EUREX,"MSCI Emerging Markets EMEA Index",HMUZ,2,CHRIS/EUREX_FMEE
FMEL,EUREX,"MSCI Emerging Markets Latin America Index",HMUZ,2,CHRIS/EUREX_FMEL
FMEM,EUREX,"MSCI Emerging Markets Index",HMUZ,2,CHRIS/EUREX_FMEM
